frame,track_id,label,x,y,width,height
562,10,car,135,86,129,163
563,10,car,127,80,133,160
563,12,pedestrian,577,2,28,53
563,14,bicycle,549,26,61,60
564,10,car,119,76,139,156
564,12,pedestrian,585,4,25,49
565,10,car,111,73,144,149
565,12,pedestrian,590,3,25,52
565,14,bicycle,558,33,65,57
566,10,car,103,69,148,145
566,12,pedestrian,591,4,32,62
566,14,bicycle,561,36,69,55
567,10,car,93,66,153,140
567,12,pedestrian,596,7,33,59
567,14,bicycle,566,37,71,56
568,10,car,81,63,159,138
568,12,pedestrian,605,16,26,46
568,14,bicycle,571,39,74,55
568,15,pedestrian,602,8,34,66
569,10,car,71,62,164,133
569,12,pedestrian,610,10,29,63
569,14,bicycle,578,38,75,57
570,10,car,60,61,168,128
570,12,pedestrian,614,11,32,63
570,14,bicycle,582,41,78,56
571,10,car,48,58,172,126
571,12,pedestrian,622,12,29,63
571,14,bicycle,588,44,77,55
572,10,car,38,57,176,122
572,12,pedestrian,627,13,31,64
572,14,bicycle,596,47,77,52
573,10,car,25,55,181,121
573,12,pedestrian,632,15,32,58
573,14,bicycle,601,48,78,53
574,10,car,15,53,183,121
574,12,pedestrian,640,17,31,59
574,14,bicycle,607,50,79,51
575,10,car,2,53,188,117
575,12,pedestrian,645,18,32,61
575,14,bicycle,614,52,80,49
576,10,car,0,52,181,114
576,12,pedestrian,651,19,32,66
576,14,bicycle,620,54,80,47
577,10,car,0,51,173,113
577,12,pedestrian,642,21,48,63
577,14,bicycle,627,54,81,49
577,15,pedestrian,659,21,32,60
578,10,car,0,50,163,112
578,14,bicycle,634,55,78,48
579,10,car,0,50,154,110
579,12,pedestrian,670,31,29,56
579,14,bicycle,640,57,78,45
580,10,car,0,50,144,109
580,12,pedestrian,677,30,34,51
580,14,bicycle,646,59,77,44
581,10,car,0,51,135,106
581,12,pedestrian,680,25,33,61
581,14,bicycle,653,59,76,44
582,10,car,0,52,126,104
582,12,pedestrian,686,24,35,61
582,14,bicycle,659,60,76,44
583,10,car,0,53,116,102
583,12,pedestrian,694,25,33,57
583,14,bicycle,666,58,75,45
584,10,car,0,54,107,101
584,12,pedestrian,696,24,35,60
584,14,bicycle,671,56,77,48
585,10,car,0,55,96,99
585,12,pedestrian,704,25,34,62
585,14,bicycle,677,58,75,45
586,10,car,0,56,87,98
586,12,pedestrian,708,26,37,60
586,14,bicycle,683,56,75,48
587,10,car,0,57,77,97
587,12,pedestrian,715,27,34,56
587,14,bicycle,690,57,76,47
588,10,car,0,58,67,98
588,12,pedestrian,726,27,31,58
588,14,bicycle,696,58,71,46
589,10,car,0,61,57,94
589,12,pedestrian,730,27,32,57
589,14,bicycle,702,64,65,41
590,10,car,0,62,48,92
590,12,pedestrian,739,32,23,44
590,14,bicycle,709,65,58,40
590,15,pedestrian,737,28,30,53
591,12,pedestrian,742,32,25,46
591,14,bicycle,715,64,52,40
592,12,pedestrian,747,32,20,45
592,14,bicycle,721,60,46,43
